time;device_id;temperature;photoresistor;power
2022-07-26 14:31:13.254096+00;1;30.8;212;91
2022-07-26 14:31:33.254096+00;1;30.7;212;97
2022-07-26 14:31:53.284249+00;1;30.6;203;97
2022-07-26 14:32:13.314997+00;1;30.6;201;91
2022-07-26 14:32:33.347408+00;1;30.5;195;109
2022-07-26 14:32:53.377528+00;1;30.5;205;128
2022-07-26 14:33:13.408716+00;1;30.4;202;128
2022-07-26 14:33:33.439702+00;1;30.4;199;122
2022-07-26 14:33:53.472645+00;1;30.3;202;122
2022-07-26 14:34:13.502353+00;1;30.2;200;128
2022-07-26 14:34:33.535172+00;1;30.2;195;122
2022-07-26 14:34:53.56514+00;1;30.1;195;128
2022-07-26 14:35:13.597148+00;1;30.1;200;128
2022-07-26 14:35:33.629768+00;1;30;198;128
2022-07-26 14:35:53.670394+00;1;30;189;152
2022-07-26 14:36:13.701835+00;1;29.9;186;128
2022-07-26 14:36:33.739928+00;1;29.9;178;109
2022-07-26 14:36:53.771871+00;1;29.8;176;158
2022-07-26 14:37:13.807006+00;1;29.8;165;128
2022-07-26 14:37:33.838726+00;1;29.8;177;189
2022-07-26 14:37:53.867793+00;1;29.7;166;177
2022-07-26 14:38:13.898902+00;1;29.7;158;177
2022-07-26 14:38:35.936904+00;1;29.6;156;201
2022-07-26 14:38:57.936904+00;1;29.6;155;207
2022-07-26 14:39:17.964997+00;1;29.6;156;219
2022-07-26 14:39:37.994957+00;1;29.5;153;219
2022-07-26 14:39:58.02511+00;1;29.5;145;177
2022-07-26 14:40:18.054527+00;1;29.4;165;231
2022-07-26 14:40:38.085008+00;1;29.4;145;250
2022-07-26 14:40:58.114992+00;1;29.4;145;292
2022-07-26 14:41:18.14647+00;1;29.4;144;268
2022-07-26 14:41:38.181046+00;1;29.4;145;219
2022-07-26 14:41:58.217758+00;1;29.4;145;292
2022-07-26 14:42:18.247265+00;1;29.3;151;268
2022-07-26 14:42:38.275851+00;1;29.3;147;280
2022-07-26 14:42:58.3086+00;1;29.3;145;268
2022-07-26 14:43:18.337473+00;1;29.3;153;280
2022-07-26 14:43:38.369075+00;1;29.3;146;311
2022-07-26 14:43:58.399428+00;1;29.3;146;299
2022-07-26 14:44:18.431053+00;1;29.2;155;268
2022-07-26 14:44:38.460886+00;1;29.2;153;280
2022-07-26 14:44:58.494759+00;1;29.2;146;250
2022-07-26 14:45:18.533389+00;1;29.2;149;238
2022-07-26 14:45:38.562671+00;1;29.2;153;262
