time;device_id;temperature;photoresistor;power
2022-07-26 13:19:30.099803+00;1;27.6;141;292
2022-07-26 13:19:50.099803+00;1;27.6;147;250
2022-07-26 13:20:10.099803+00;1;27.7;145;231
2022-07-26 13:20:30.099803+00;1;27.7;149;250
2022-07-26 13:20:50.099803+00;1;27.7;146;262
2022-07-26 13:21:10.099803+00;1;27.7;144;262
2022-07-26 13:21:30.099803+00;1;27.8;144;262
2022-07-26 13:21:50.099803+00;1;27.8;141;292
2022-07-26 13:22:10.099803+00;1;27.8;136;250
2022-07-26 13:22:30.099803+00;1;27.8;129;378
2022-07-26 13:22:50.099803+00;1;27.8;129;402
2022-07-26 13:23:10.099803+00;1;27.9;114;622
2022-07-26 13:23:30.099803+00;1;27.9;114;817
2022-07-26 13:23:50.099803+00;1;27.9;114;610
2022-07-26 13:24:10.099803+00;1;27.9;114;439
2022-07-26 13:24:30.099803+00;1;28;117;482
2022-07-26 13:24:50.099803+00;1;28;116;451
2022-07-26 13:25:10.099803+00;1;28;124;402
2022-07-26 13:25:30.099803+00;1;28;128;402
2022-07-26 13:25:52.099803+00;1;28.1;131;390
2022-07-26 13:26:16.099803+00;1;28.1;124;360
2022-07-26 13:26:40.099803+00;1;28.1;129;421
2022-07-26 13:27:04.099803+00;1;28.1;124;402
2022-07-26 13:27:28.099803+00;1;28.2;114;549
2022-07-26 13:27:53.099803+00;1;28.2;126;451
2022-07-26 13:28:17.099803+00;1;28.2;130;390
2022-07-26 13:28:37.146569+00;1;28.3;141;378
2022-07-26 13:28:57.186026+00;1;28.3;124;360
2022-07-26 13:29:17.22794+00;1;28.3;130;317
2022-07-26 13:29:37.267342+00;1;28.3;137;360
2022-07-26 13:29:57.307684+00;1;28.3;139;311
2022-07-26 13:30:17.341848+00;1;28.4;143;250
2022-07-26 13:30:37.376809+00;1;28.4;145;262
2022-07-26 13:30:57.417146+00;1;28.4;140;292
2022-07-26 13:31:17.45749+00;1;28.4;133;347
2022-07-26 13:31:37.500425+00;1;28.4;146;329
2022-07-26 13:31:57.538692+00;1;28.5;134;347
2022-07-26 13:32:17.573325+00;1;28.5;124;378
2022-07-26 13:32:37.609944+00;1;28.5;118;451
2022-07-26 13:32:57.652527+00;1;28.5;118;500
2022-07-26 13:33:17.690785+00;1;28.5;115;427
2022-07-26 13:33:37.732827+00;1;28.5;114;646
2022-07-26 13:33:57.772859+00;1;28.6;114;732
2022-07-26 13:34:17.807367+00;1;28.6;114;860
2022-07-26 13:34:37.84363+00;1;28.6;114;628
2022-07-26 13:34:57.884496+00;1;28.7;114;799
2022-07-26 13:35:17.924956+00;1;28.8;114;708
2022-07-26 13:35:37.965494+00;1;28.9;114;720
2022-07-26 13:35:58.00601+00;1;29;114;842
2022-07-26 13:36:18.041043+00;1;29.2;114;799
2022-07-26 13:36:38.078244+00;1;29.3;114;939
2022-07-26 13:36:58.119814+00;1;29.5;114;769
2022-07-26 13:37:18.158773+00;1;29.7;114;842
2022-07-26 13:37:38.199734+00;1;30;114;921
2022-07-26 13:37:58.240236+00;1;30.3;114;848
2022-07-26 13:38:18.274968+00;1;30.6;114;817
2022-07-26 13:38:38.311809+00;1;30.9;114;769
2022-07-26 13:38:58.355043+00;1;31.3;114;830
2022-07-26 13:39:18.392621+00;1;31.6;114;720
2022-07-26 13:39:38.433275+00;1;31.9;114;762
2022-07-26 13:39:58.474275+00;1;32.2;114;738
2022-07-26 13:40:18.587198+00;1;32.4;114;830
2022-07-26 13:40:38.655886+00;1;32.7;114;787
2022-07-26 13:40:58.696304+00;1;33;114;769
2022-07-26 13:41:18.736986+00;1;33.2;114;817
2022-07-26 13:41:38.777809+00;1;33.5;114;811
2022-07-26 13:41:58.818643+00;1;33.7;114;671
2022-07-26 13:42:18.859779+00;1;34;114;781
2022-07-26 13:42:38.899781+00;1;34.2;114;891
2022-07-26 13:42:58.939861+00;1;34.5;114;659
2022-07-26 13:43:18.981167+00;1;34.7;114;787
2022-07-26 13:43:39.02217+00;1;35;114;872
2022-07-26 13:43:59.062256+00;1;35.2;114;787
2022-07-26 13:44:18.103073+00;1;35.5;114;787
2022-07-26 13:44:39.144669+00;1;35.7;114;781
2022-07-26 13:44:59.184338+00;1;36;114;787
2022-07-26 13:45:19.225004+00;1;36.2;114;610
2022-07-26 13:45:39.26588+00;1;36.4;114;762
2022-07-26 13:45:59.306473+00;1;36.6;114;811
2022-07-26 13:46:19.347186+00;1;36.7;114;842
2022-07-26 13:46:39.388437+00;1;36.8;114;817
2022-07-26 13:46:59.430898+00;1;37;114;701
2022-07-26 13:47:19.46988+00;1;37.1;114;799
2022-07-26 13:47:39.508589+00;1;37.3;114;787
2022-07-26 13:47:59.553212+00;1;37.4;114;799
2022-07-26 13:48:19.593147+00;1;37.6;114;738
2022-07-26 13:48:39.632386+00;1;37.7;114;646
2022-07-26 13:48:59.673773+00;1;37.9;114;787
2022-07-26 13:49:19.714023+00;1;38;114;762
2022-07-26 13:49:39.754006+00;1;38.1;114;561
2022-07-26 13:49:59.795139+00;1;38.3;114;811
2022-07-26 13:50:19.835998+00;1;38.3;114;622
2022-07-26 13:50:39.876699+00;1;38.4;128;311
2022-07-26 13:50:59.91748+00;1;38.4;117;329
2022-07-26 13:51:19.957868+00;1;38.4;114;579
2022-07-26 13:51:39.998435+00;1;38.5;114;512
2022-07-26 13:52:00.037625+00;1;38.5;119;427
2022-07-26 13:52:20.079971+00;1;38.4;124;299
2022-07-26 13:52:39.121601+00;1;38.4;124;292
2022-07-26 13:53:00.151419+00;1;38.4;120;372
2022-07-26 13:53:22.148582+00;1;38.3;114;518
2022-07-26 13:53:44.148582+00;1;38.2;114;671
2022-07-26 13:54:04.180191+00;1;38.2;114;738
2022-07-26 13:54:24.226193+00;1;38.2;114;787
2022-07-26 13:54:44.268093+00;1;38.2;114;781
2022-07-26 13:55:04.305808+00;1;38.2;114;799
2022-07-26 13:55:24.342731+00;1;38.3;114;799
2022-07-26 13:55:44.382053+00;1;38.3;114;677
2022-07-26 13:56:04.415974+00;1;38.3;114;598
2022-07-26 13:56:24.453141+00;1;38.3;121;482
2022-07-26 13:56:44.494964+00;1;38.4;124;372
2022-07-26 13:57:04.531506+00;1;38.3;129;341
2022-07-26 13:57:24.567437+00;1;38.3;130;347
2022-07-26 13:57:44.608436+00;1;38.3;131;347
2022-07-26 13:58:06.662804+00;1;38.3;127;402
2022-07-26 13:58:28.662804+00;1;38.3;128;372
2022-07-26 13:58:48.704961+00;1;38.2;131;402
2022-07-26 13:59:08.742062+00;1;38.1;117;561
2022-07-26 13:59:28.780509+00;1;38.1;114;640
2022-07-26 13:59:48.820558+00;1;38;114;628
2022-07-26 14:00:08.854817+00;1;37.9;115;408
2022-07-26 14:00:28.893075+00;1;37.9;114;488
2022-07-26 14:00:48.935506+00;1;37.8;117;488
2022-07-26 14:01:08.979566+00;1;37.7;126;378
2022-07-26 14:01:29.016115+00;1;37.6;124;372
2022-07-26 14:01:48.056667+00;1;37.5;132;372
2022-07-26 14:02:09.099211+00;1;37.4;133;329
2022-07-26 14:02:29.136344+00;1;37.3;139;341
2022-07-26 14:02:49.175377+00;1;37.2;135;329
2022-07-26 14:03:09.214901+00;1;37.1;145;292
2022-07-26 14:03:29.255112+00;1;37;149;280
2022-07-26 14:03:49.292319+00;1;36.9;146;262
2022-07-26 14:04:09.325118+00;1;36.8;149;268
2022-07-26 14:04:29.359985+00;1;36.7;149;280
2022-07-26 14:04:49.391616+00;1;36.6;145;299
2022-07-26 14:05:09.426384+00;1;36.5;145;317
2022-07-26 14:05:29.461875+00;1;36.4;142;292
2022-07-26 14:05:49.496108+00;1;36.3;139;280
2022-07-26 14:06:09.530231+00;1;36.1;135;360
2022-07-26 14:06:29.565443+00;1;36;131;262
2022-07-26 14:06:49.600134+00;1;35.9;133;341
2022-07-26 14:07:09.634971+00;1;35.8;124;360
2022-07-26 14:07:29.666051+00;1;35.6;115;488
2022-07-26 14:07:49.703865+00;1;35.5;129;360
2022-07-26 14:08:09.733241+00;1;35.5;142;262
2022-07-26 14:08:29.760023+00;1;35.4;137;317
2022-07-26 14:08:49.793296+00;1;35.3;139;280
2022-07-26 14:09:09.835053+00;1;35.2;145;292
2022-07-26 14:09:29.877085+00;1;35.1;145;299
2022-07-26 14:09:49.919998+00;1;35;139;280
2022-07-26 14:10:09.957683+00;1;34.9;145;219
2022-07-26 14:10:29.99272+00;1;34.8;151;329
2022-07-26 14:10:50.031454+00;1;34.7;152;0
2022-07-26 14:11:10.076264+00;1;34.7;149;299
2022-07-26 14:11:30.110924+00;1;34.6;145;268
2022-07-26 14:11:50.148344+00;1;34.5;146;250
2022-07-26 14:12:10.187462+00;1;34.4;145;280
2022-07-26 14:12:30.226122+00;1;34.3;146;250
2022-07-26 14:12:50.257272+00;1;34.3;140;299
2022-07-26 14:13:10.299865+00;1;34.2;140;292
2022-07-26 14:13:30.337176+00;1;34.1;137;18
2022-07-26 14:13:50.366151+00;1;34;135;378
2022-07-26 14:14:10.397631+00;1;34;119;427
2022-07-26 14:14:30.437262+00;1;33.9;114;750
2022-07-26 14:14:50.479963+00;1;33.8;114;842
2022-07-26 14:15:10.516058+00;1;33.8;114;518
2022-07-26 14:15:30.54566+00;1;33.7;114;512
2022-07-26 14:17:32.517609+00;1;33.5;145;292
2022-07-26 14:17:52.517609+00;1;33.5;155;250
2022-07-26 14:18:12.556016+00;1;33.4;158;231
2022-07-26 14:18:32.587289+00;1;33.4;167;201
2022-07-26 14:18:52.618735+00;1;33.3;176;189
2022-07-26 14:19:12.649069+00;1;33.3;173;201
2022-07-26 14:19:32.680226+00;1;33.2;179;140
2022-07-26 14:19:52.711099+00;1;33.1;182;170
2022-07-26 14:20:12.740653+00;1;33.1;179;170
2022-07-26 14:20:32.77226+00;1;33;183;170
2022-07-26 14:20:52.828628+00;1;32.9;181;170
2022-07-26 14:21:12.871167+00;1;32.8;182;152
2022-07-26 14:21:32.908775+00;1;32.8;182;170
2022-07-26 14:21:52.946805+00;1;32.7;179;177
2022-07-26 14:22:12.978796+00;1;32.6;178;158
2022-07-26 14:22:35.022581+00;1;32.5;186;170
2022-07-26 14:22:57.022581+00;1;32.4;182;158
2022-07-26 14:23:17.064152+00;1;32.4;191;152
2022-07-26 14:23:37.106954+00;1;32.3;192;170
2022-07-26 14:23:57.148829+00;1;32.3;195;158
2022-07-26 14:24:17.186918+00;1;32.2;207;140
2022-07-26 14:24:37.224133+00;1;32.1;212;128
2022-07-26 14:24:57.261397+00;1;32;219;122
2022-07-26 14:25:17.297135+00;1;32;232;122
2022-07-26 14:25:37.338678+00;1;31.9;253;97
2022-07-26 14:25:57.376346+00;1;31.8;250;91
2022-07-26 14:26:17.405987+00;1;31.8;253;67
2022-07-26 14:26:37.441233+00;1;31.7;255;91
2022-07-26 14:26:57.480105+00;1;31.6;256;79
2022-07-26 14:27:17.513145+00;1;31.5;256;79
2022-07-26 14:27:37.544941+00;1;31.5;255;67
2022-07-26 14:27:57.584721+00;1;31.4;262;61
2022-07-26 14:28:17.619261+00;1;31.3;267;67
2022-07-26 14:28:37.651345+00;1;31.3;267;67
2022-07-26 14:28:57.680293+00;1;31.2;261;67
2022-07-26 14:29:17.709681+00;1;31.1;258;48
2022-07-26 14:29:37.738744+00;1;31.1;249;67
2022-07-26 14:29:57.768744+00;1;31;246;67
2022-07-26 14:30:17.798255+00;1;30.9;239;61
2022-07-26 14:31:13.254096+00;1;30.8;212;91
2022-07-26 14:31:33.254096+00;1;30.7;212;97
2022-07-26 14:31:53.284249+00;1;30.6;203;97
2022-07-26 14:32:13.314997+00;1;30.6;201;91
2022-07-26 14:32:33.347408+00;1;30.5;195;109
2022-07-26 14:32:53.377528+00;1;30.5;205;128
2022-07-26 14:33:13.408716+00;1;30.4;202;128
2022-07-26 14:33:33.439702+00;1;30.4;199;122
2022-07-26 14:33:53.472645+00;1;30.3;202;122
2022-07-26 14:34:13.502353+00;1;30.2;200;128
2022-07-26 14:34:33.535172+00;1;30.2;195;122
2022-07-26 14:34:53.56514+00;1;30.1;195;128
2022-07-26 14:35:13.597148+00;1;30.1;200;128
2022-07-26 14:35:33.629768+00;1;30;198;128
2022-07-26 14:35:53.670394+00;1;30;189;152
2022-07-26 14:36:13.701835+00;1;29.9;186;128
2022-07-26 14:36:33.739928+00;1;29.9;178;109
2022-07-26 14:36:53.771871+00;1;29.8;176;158
2022-07-26 14:37:13.807006+00;1;29.8;165;128
2022-07-26 14:37:33.838726+00;1;29.8;177;189
2022-07-26 14:37:53.867793+00;1;29.7;166;177
2022-07-26 14:38:13.898902+00;1;29.7;158;177
2022-07-26 14:38:35.936904+00;1;29.6;156;201
2022-07-26 14:38:57.936904+00;1;29.6;155;207
2022-07-26 14:39:17.964997+00;1;29.6;156;219
2022-07-26 14:39:37.994957+00;1;29.5;153;219
2022-07-26 14:39:58.02511+00;1;29.5;145;177
2022-07-26 14:40:18.054527+00;1;29.4;165;231
2022-07-26 14:40:38.085008+00;1;29.4;145;250
2022-07-26 14:40:58.114992+00;1;29.4;145;292
2022-07-26 14:41:18.14647+00;1;29.4;144;268
2022-07-26 14:41:38.181046+00;1;29.4;145;219
2022-07-26 14:41:58.217758+00;1;29.4;145;292
2022-07-26 14:42:18.247265+00;1;29.3;151;268
2022-07-26 14:42:38.275851+00;1;29.3;147;280
2022-07-26 14:42:58.3086+00;1;29.3;145;268
2022-07-26 14:43:18.337473+00;1;29.3;153;280
2022-07-26 14:43:38.369075+00;1;29.3;146;311
2022-07-26 14:43:58.399428+00;1;29.3;146;299
2022-07-26 14:44:18.431053+00;1;29.2;155;268
2022-07-26 14:44:38.460886+00;1;29.2;153;280
2022-07-26 14:44:58.494759+00;1;29.2;146;250
2022-07-26 14:45:18.533389+00;1;29.2;149;238
2022-07-26 14:45:38.562671+00;1;29.2;153;262
2022-07-26 14:45:58.599382+00;1;29.2;155;250
2022-07-26 14:46:18.634883+00;1;29.2;155;250
2022-07-26 14:46:38.666462+00;1;29.2;155;262
2022-07-26 14:46:58.700462+00;1;29.2;158;207
2022-07-26 14:47:18.737514+00;1;29.2;161;250
2022-07-26 14:47:38.768989+00;1;29.2;153;238
2022-07-26 14:47:58.799858+00;1;29.2;155;201
2022-07-26 14:48:18.803424+00;1;29.2;152;238
2022-07-26 14:48:38.810735+00;1;29.2;155;238
2022-07-26 14:48:58.831275+00;1;29.2;158;250
2022-07-26 14:49:18.85936+00;1;29.1;160;231
2022-07-26 14:49:38.890714+00;1;29.1;163;189
2022-07-26 14:49:58.919652+00;1;29.1;161;177
2022-07-26 15:01:23.980891+00;1;29;133;311
2022-07-26 15:24:27.301029+00;1;28.1;203;109
2022-07-26 14:50:20.950279+00;1;29.1;165;219
2022-07-26 14:50:42.950279+00;1;29.1;166;219
2022-07-26 14:51:02.982461+00;1;29.1;173;231
2022-07-26 14:51:23.015247+00;1;29.1;167;219
2022-07-26 14:51:43.048859+00;1;29.1;163;231
2022-07-26 14:52:03.082277+00;1;29.1;163;238
2022-07-26 14:52:23.112656+00;1;29;155;231
2022-07-26 14:52:43.151786+00;1;29;137;231
2022-07-26 14:53:03.189179+00;1;29;146;268
2022-07-26 14:53:23.218957+00;1;29;133;268
2022-07-26 14:53:43.252259+00;1;29;128;219
2022-07-26 14:54:03.285433+00;1;29;114;372
2022-07-26 14:54:23.311829+00;1;29;124;341
2022-07-26 14:54:43.33859+00;1;29;124;360
2022-07-26 14:55:03.366909+00;1;28.9;114;390
2022-07-26 14:55:23.398833+00;1;28.9;116;408
2022-07-26 14:55:43.433417+00;1;28.9;120;372
2022-07-26 14:56:03.474549+00;1;28.9;114;347
2022-07-26 14:56:23.509927+00;1;28.9;119;421
2022-07-26 14:56:43.54272+00;1;28.9;124;360
2022-07-26 14:57:03.57385+00;1;28.9;121;280
2022-07-26 14:57:23.604535+00;1;28.9;114;341
2022-07-26 14:57:43.634766+00;1;28.9;114;439
2022-07-26 15:24:46.332541+00;1;28.1;206;122
2022-07-26 14:58:03.664228+00;1;28.9;114;451
2022-07-26 14:58:23.701052+00;1;28.9;115;372
2022-07-26 14:58:43.735254+00;1;28.9;121;329
2022-07-26 14:59:03.762378+00;1;28.9;124;341
2022-07-26 15:25:07.361237+00;1;28;204;42
2022-07-26 15:25:27.393394+00;1;28;205;30
2022-07-26 15:25:47.422202+00;1;28;210;18
2022-07-26 15:26:07.454135+00;1;28;209;122
2022-07-26 15:26:27.484293+00;1;28;206;122
2022-07-26 15:26:47.526126+00;1;28;207;122
2022-07-26 15:27:07.567497+00;1;28;194;91
2022-07-26 15:27:27.607462+00;1;28;210;109
2022-07-26 15:27:47.637497+00;1;27.9;212;128
2022-07-26 15:28:07.66997+00;1;27.9;216;128
2022-07-26 15:28:27.701151+00;1;27.9;215;109
2022-07-26 15:28:47.733269+00;1;27.9;212;122
2022-07-26 15:29:09.775953+00;1;27.9;218;109
